category,sub_category,item,link
Groceries,Beauty,Beauty Accessories,https://www.jiomart.com/c/groceries/beauty/beauty-accessories/30011?flow=schedule
Groceries,Mom & Baby Care,Diapers & Wipes,https://www.jiomart.com/c/groceries/mom-baby-care/diapers-wipes/2564?flow=schedule
Groceries,Mom & Baby Care,"Bath, Hygiene & Grooming",https://www.jiomart.com/c/groceries/mom-baby-care/baby-bath-hygiene/2562?flow=schedule
Groceries,Mom & Baby Care,Food & Feeding,https://www.jiomart.com/c/groceries/mom-baby-care/food-feeding/30013?flow=schedule
Groceries,Mom & Baby Care,"Bedding, Toys & Accessories",https://www.jiomart.com/c/groceries/mom-baby-care/bedding-toys-accessories/30012?flow=schedule
Groceries,Mom & Baby Care,Health & Wellness,https://www.jiomart.com/c/groceries/mom-baby-care/health-wellness/2571?flow=schedule
Groceries,Home,Dishwash,https://www.jiomart.com/c/groceries/home-care/dishwash/148?flow=schedule
Groceries,Home,Detergents & Cleaners,https://www.jiomart.com/c/groceries/home-care/detergents-cleaners/29119?flow=schedule
Groceries,Home,Fresheners & Repellents,https://www.jiomart.com/c/groceries/home-care/fresheners-repellents/65?flow=schedule
Groceries,Home,Home & Cleaning Tools,https://www.jiomart.com/c/groceries/home-care/home_cleaning_tools/207?flow=schedule
Groceries,Home,Pooja Needs,https://www.jiomart.com/c/groceries/home-care/pooja-needs/156?flow=schedule
Groceries,Home,Basic Electricals,https://www.jiomart.com/c/groceries/home-care/basic-electricals/30164?flow=schedule
Groceries,Home,Shoe Care,https://www.jiomart.com/c/groceries/home-care/shoe-care/139?flow=schedule
Groceries,Home,Furnishing & Personal Wear,https://www.jiomart.com/c/groceries/home-care/furnishing/276?flow=schedule
Groceries,Home,Bags & Travel Luggage,https://www.jiomart.com/c/groceries/home-care/bags-travel-luggage/304?flow=schedule
Groceries,Home,Furniture,https://www.jiomart.com/c/groceries/home-care/furniture/454?flow=schedule
Groceries,Kitchenware,Cookers & Steamers,https://www.jiomart.com/c/groceries/kitchenware/cookers-steamers/32908?flow=schedule
